ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
A847FADBBC638E45,docked_bike,2020-04-26 17:45:14,2020-04-26 18:12:03,Eckhart Park,86,Lincoln Ave & Diversey Pkwy,152.0,41.8964,-87.661,41.9322,-87.6586,member
5405B80E996FF60D,docked_bike,2020-04-17 17:08:54,2020-04-17 17:17:03,Drake Ave & Fullerton Ave,503,Kosciuszko Park,499.0,41.9244,-87.7154,41.9306,-87.7238,member
5DD24A79A4E006F4,docked_bike,2020-04-01 17:54:13,2020-04-01 18:08:36,McClurg Ct & Erie St,142,Indiana Ave & Roosevelt Rd,255.0,41.8945,-87.6179,41.8679,-87.623,member
2A59BBDF5CDBA725,docked_bike,2020-04-07 12:50:19,2020-04-07 13:02:31,California Ave & Division St,216,Wood St & Augusta Blvd,657.0,41.903,-87.6975,41.8992,-87.6722,member
27AD306C119C6158,docked_bike,2020-04-18 10:22:59,2020-04-18 11:15:54,Rush St & Hubbard St,125,Sheridan Rd & Lawrence Ave,323.0,41.8902,-87.6262,41.9695,-87.6547,casual
356216E875132F61,docked_bike,2020-04-30 17:55:47,2020-04-30 18:01:11,Mies van der Rohe Way & Chicago Ave,173,Streeter Dr & Grand Ave,35.0,41.8969,-87.6217,41.8923,-87.612,member
A2759CB06A81F2BC,docked_bike,2020-04-02 14:47:19,2020-04-02 14:52:32,Streeter Dr & Grand Ave,35,Fairbanks St & Superior St,635.0,41.8923,-87.612,41.8957,-87.6201,member
FC8BC2E2D54F35ED,docked_bike,2020-04-07 12:22:20,2020-04-07 13:38:09,Ogden Ave & Roosevelt Rd,434,Western Ave & Congress Pkwy,382.0,41.8665,-87.6847,41.8747,-87.6864,casual
9EC5648678DE06E6,docked_bike,2020-04-15 10:30:11,2020-04-15 10:35:55,LaSalle Dr & Huron St,627,Larrabee St & Division St,359.0,41.8949,-87.6323,41.9035,-87.6434,casual
A8FFF89140C33017,docked_bike,2020-04-04 15:02:28,2020-04-04 15:19:47,Kedzie Ave & Lake St,377,Central Park Ave & North Ave,508.0,41.8846,-87.7063,41.9097,-87.7166,member
788B1BB8A7491EBD,docked_bike,2020-04-04 15:22:43,2020-04-04 15:46:55,Central Park Ave & North Ave,508,Western Ave & Walton St,374.0,41.9097,-87.7166,41.8984,-87.6866,member
C83C113858BA06DA,docked_bike,2020-04-25 15:43:52,2020-04-25 15:48:45,Western Ave & Walton St,374,Damen Ave & Chicago Ave,128.0,41.8984,-87.6866,41.8958,-87.6772,member
D2038D92195BDD67,docked_bike,2020-04-24 18:09:43,2020-04-24 18:18:01,Western Ave & Walton St,374,Ashland Ave & Division St,210.0,41.8984,-87.6866,41.9035,-87.6677,member
C554B4E072B077F8,docked_bike,2020-04-11 17:15:19,2020-04-11 17:19:53,Western Ave & Walton St,374,Damen Ave & Chicago Ave,128.0,41.8984,-87.6866,41.8958,-87.6772,member
F962D972BC1EF3F0,docked_bike,2020-04-20 17:18:50,2020-04-20 17:42:51,Wabash Ave & 9th St,321,Michigan Ave & 8th St,623.0,41.8708,-87.6257,41.8728,-87.624,member
1DDBC1F4D208C2B3,docked_bike,2020-04-18 15:49:26,2020-04-18 16:24:57,Wabash Ave & 9th St,321,Sheffield Ave & Kingsbury St,20.0,41.8708,-87.6257,41.9105,-87.6531,member
AA1C8D93190BB6A9,docked_bike,2020-04-19 13:39:57,2020-04-19 14:01:39,Wabash Ave & 9th St,321,Clark St & Lincoln Ave,141.0,41.8708,-87.6257,41.9157,-87.6346,member
B0EEA4FBCF6E26A3,docked_bike,2020-04-18 02:59:09,2020-04-18 03:07:22,Leavitt St & Archer Ave,9,Leavitt St & Archer Ave,9.0,41.8288,-87.6806,41.8288,-87.6806,casual
5F2A5CC2510F0396,docked_bike,2020-04-04 10:52:08,2020-04-04 11:08:03,Clark St & Lincoln Ave,141,Southport Ave & Wrightwood Ave,190.0,41.9157,-87.6346,41.9288,-87.6639,casual
BEF186AA6B3DD4CC,docked_bike,2020-04-25 12:32:30,2020-04-25 12:38:24,900 W Harrison St,109,Aberdeen St & Randolph St,621.0,41.8748,-87.6498,41.8841,-87.6543,member
042511EE70500A4A,docked_bike,2020-04-05 15:39:52,2020-04-05 16:15:51,Museum of Science and Industry,424,Cornell Dr & Hayes Dr,653.0,41.7917,-87.5839,41.7806,-87.5848,casual
0FF35889739F390A,docked_bike,2020-04-10 16:00:32,2020-04-10 16:32:07,Ashland Ave & Grace St,347,Southport Ave & Waveland Ave,227.0,41.9507,-87.6687,41.9482,-87.6639,casual
0ECBACECBACC97A1,docked_bike,2020-04-18 12:07:57,2020-04-18 12:12:49,Green St & Madison St,198,900 W Harrison St,109.0,41.8819,-87.6488,41.8748,-87.6498,member
B5BBCA72F5A8BE3C,docked_bike,2020-04-05 14:29:39,2020-04-05 14:44:30,Ravenswood Ave & Lawrence Ave,344,Southport Ave & Waveland Ave,227.0,41.9691,-87.6742,41.9482,-87.6639,member
E65BB1A0FBE1A613,docked_bike,2020-04-05 13:44:17,2020-04-05 13:58:12,Southport Ave & Waveland Ave,227,Ravenswood Ave & Lawrence Ave,344.0,41.9482,-87.6639,41.9691,-87.6742,member
42BD46C9685A5419,docked_bike,2020-04-06 17:58:25,2020-04-06 18:24:24,Southport Ave & Waveland Ave,227,Southport Ave & Waveland Ave,227.0,41.9482,-87.6639,41.9482,-87.6639,member
28A3CE824ABD6A4B,docked_bike,2020-04-06 12:23:58,2020-04-06 12:44:16,Southport Ave & Waveland Ave,227,Southport Ave & Waveland Ave,227.0,41.9482,-87.6639,41.9482,-87.6639,member
4AC1B5A237958211,docked_bike,2020-04-11 14:43:35,2020-04-11 16:08:18,Evanston Civic Center,661,Evanston Civic Center,661.0,42.057,-87.6866,42.057,-87.6866,casual
0A94070DBAEBFABD,docked_bike,2020-04-11 16:49:50,2020-04-11 17:19:50,Lincoln Ave & Fullerton Ave,127,Lincoln Ave & Fullerton Ave,127.0,41.9259,-87.6493,41.9259,-87.6493,casual
8AAF3B9EDA71248A,docked_bike,2020-04-11 14:18:48,2020-04-11 16:12:21,Aberdeen St & Monroe St,80,Aberdeen St & Randolph St,621.0,41.8804,-87.6555,41.8841,-87.6543,casual
